frame_idx,red_pixel_count,flagged
0,0,False
1,0,False
2,0,False
3,0,False
4,0,False
5,0,False
6,0,False
7,0,False
8,0,False
9,0,False
10,0,False
11,0,False
12,0,False
13,0,False
14,0,False
15,0,False
16,0,False
17,0,False
18,0,False
19,0,False
20,0,False
21,0,False
22,0,False
23,0,False
24,0,False
25,0,False
26,0,False
27,0,False
28,0,False
29,0,False
30,0,False
31,0,False
32,0,False
33,0,False
34,0,False
35,0,False
36,0,False
37,0,False
38,0,False
39,0,False
40,0,False
41,0,False
42,0,False
43,0,False
44,0,False
45,0,False
46,0,False
47,0,False
48,0,False
49,0,False
50,0,False
51,0,False
52,0,False
53,0,False
54,0,False
55,0,False
56,0,False
57,0,False
58,0,False
59,0,False
60,0,False
61,0,False
62,0,False
63,0,False
64,0,False
65,0,False
66,0,False
67,0,False
68,0,False
69,0,False
70,0,False
71,0,False
72,0,False
73,0,False
74,0,False
75,0,False
76,0,False
77,0,False
78,0,False
79,0,False
80,0,False
81,0,False
82,0,False
83,0,False
84,0,False
85,0,False
86,0,False
87,0,False
88,0,False
89,0,False
90,0,False
91,0,False
92,0,False
93,0,False
94,0,False
95,0,False
96,0,False
97,0,False
98,0,False
99,0,False
100,0,False
101,0,False
102,0,False
103,0,False
104,0,False
105,0,False
106,0,False
107,0,False
108,0,False
109,0,False
110,0,False
111,0,False
112,0,False
113,0,False
114,0,False
115,0,False
116,0,False
117,0,False
118,0,False
119,0,False
120,0,False
121,0,False
122,0,False
123,0,False
124,0,False
125,0,False
126,0,False
127,0,False
128,0,False
129,0,False
130,0,False
131,0,False
132,0,False
133,0,False
134,0,False
135,0,False
136,0,False
137,0,False
138,0,False
139,0,False
140,0,False
141,0,False
142,0,False
143,0,False
144,0,False
145,0,False
146,0,False
147,0,False
148,0,False
149,0,False
150,0,False
151,0,False
152,0,False
153,0,False
154,0,False
155,0,False
156,0,False
157,0,False
158,0,False
159,0,False
160,0,False
161,0,False
162,0,False
163,0,False
164,0,False
165,0,False
166,0,False
167,0,False
168,0,False
169,0,False
170,0,False
171,0,False
172,0,False
173,0,False
174,0,False
175,0,False
176,0,False
177,0,False
178,0,False
179,0,False
180,0,False
181,0,False
182,0,False
183,0,False
184,0,False
185,0,False
186,0,False
187,0,False
188,0,False
189,0,False
190,0,False
191,0,False
192,0,False
193,0,False
194,0,False
195,0,False
196,0,False
197,0,False
198,0,False
199,0,False
200,0,False
201,0,False
202,0,False
203,0,False
204,0,False
205,0,False
206,0,False
207,0,False
208,0,False
209,0,False
210,0,False
211,0,False
212,0,False
213,0,False
214,0,False
215,0,False
216,0,False
217,0,False
218,0,False
219,0,False
220,0,False
221,0,False
222,0,False
223,0,False
224,0,False
225,0,False
226,0,False
227,0,False
228,0,False
229,0,False
230,0,False
231,0,False
232,0,False
233,0,False
234,0,False
235,0,False
236,0,False
237,0,False
238,0,False
239,0,False
240,0,False
241,0,False
242,0,False
243,0,False
244,0,False
245,0,False
246,0,False
247,0,False
248,0,False
249,0,False
250,0,False
251,0,False
252,0,False
253,0,False
254,0,False
255,0,False
256,0,False
257,0,False
258,0,False
259,0,False
260,0,False
261,0,False
262,0,False
263,0,False
264,0,False
265,0,False
266,0,False
267,0,False
268,0,False
269,0,False
270,0,False
271,0,False
272,0,False
273,0,False
274,0,False
275,0,False
276,0,False
277,0,False
278,0,False
279,0,False
280,0,False
281,0,False
282,0,False
283,0,False
284,0,False
285,0,False
286,0,False
287,0,False
288,0,False
289,0,False
290,0,False
291,0,False
292,0,False
293,0,False
294,0,False
295,0,False
296,0,False
297,0,False
298,0,False
299,0,False
300,0,False
301,0,False
302,0,False
303,0,False
304,0,False
305,0,False
306,0,False
307,0,False
308,0,False
309,0,False
310,0,False
311,0,False
312,0,False
313,0,False
314,0,False
315,0,False
316,0,False
317,0,False
318,0,False
319,0,False
320,0,False
321,0,False
322,0,False
323,0,False
324,0,False
325,0,False
326,0,False
327,0,False
328,0,False
329,0,False
330,0,False
331,0,False
332,0,False
333,0,False
334,0,False
335,0,False
336,0,False
337,0,False
338,0,False
339,0,False
340,0,False
341,0,False
342,0,False
343,0,False
344,0,False
345,0,False
346,0,False
347,0,False
348,0,False
349,0,False
350,0,False
351,0,False
352,0,False
353,312,True
354,311,True
355,314,True
356,313,True
357,313,True
358,313,True
359,311,True
360,314,True
361,312,True
362,314,True
363,314,True
364,313,True
365,315,True
366,313,True
367,312,True
368,311,True
369,311,True
370,311,True
371,311,True
372,311,True
373,312,True
374,316,True
375,315,True
376,315,True
377,314,True
378,313,True
379,312,True
380,310,True
381,314,True
382,313,True
383,311,True
384,311,True
385,311,True
386,309,True
387,314,True
388,311,True
389,310,True
390,310,True
391,308,True
392,310,True
393,311,True
394,312,True
395,311,True
396,308,True
397,310,True
398,314,True
399,310,True
400,309,True
401,312,True
402,311,True
403,315,True
404,313,True
405,312,True
406,308,True
407,312,True
408,312,True
409,311,True
410,312,True
411,313,True
412,314,True
413,313,True
414,311,True
415,310,True
416,309,True
417,310,True
418,312,True
419,310,True
420,313,True
421,310,True
422,312,True
423,314,True
424,311,True
425,313,True
426,311,True
427,311,True
428,311,True
429,313,True
430,311,True
431,311,True
432,311,True
433,313,True
434,311,True
435,312,True
436,312,True
437,311,True
438,312,True
439,309,True
440,310,True
441,311,True
442,309,True
443,309,True
444,309,True
445,311,True
