frame_idx,zone_id,count,density,delta_count,speed_mean,speed_std,flow_x,flow_y,flow_magnitude,accel_mean,flow_divergence,compression,spatial_entropy,zone_inflow,zone_outflow,count_sm,density_sm,delta_count_sm,speed_mean_sm,speed_std_sm,flow_x_sm,flow_y_sm,flow_magnitude_sm,accel_mean_sm,flow_divergence_sm,compression_sm,spatial_entropy_sm,zone_inflow_sm,zone_outflow_sm,vid_id,fps
0,0,6,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.724056147739237,1.791759469222055,6,0,6.0,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.724056147739237,1.791759469222055,6.0,0.0,11,25.0
0,1,1,2.604166666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.000088900581841e-12,1,0,1.0,2.604166666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.000088900581841e-12,1.0,0.0,11,25.0
0,2,2,5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.298221281347036,0.6931471805579453,2,0,2.0,5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.298221281347036,0.6931471805579453,2.0,0.0,11,25.0
0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
1,0,6,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.724056147739237,1.791759469222055,0,0,6.0,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.724056147739237,1.791759469222055,3.0,0.0,11,25.0
1,1,1,2.604166666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.000088900581841e-12,0,0,1.0,2.604166666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.000088900581841e-12,0.5,0.0,11,25.0
1,2,2,5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.298221281347036,0.6931471805579453,0,0,2.0,5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.298221281347036,0.6931471805579453,1.0,0.0,11,25.0
1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
2,0,6,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.724056147739237,1.791759469222055,0,0,6.0,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.724056147739237,1.791759469222055,2.0,0.0,11,25.0
2,1,1,2.604166666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.000088900581841e-12,0,0,1.0,2.604166666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.000088900581841e-12,0.3333333333333333,0.0,11,25.0
2,2,2,5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.298221281347036,0.6931471805579453,0,0,2.0,5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.298221281347036,0.6931471805579453,0.6666666666666666,0.0,11,25.0
2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
3,0,6,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.724056147739237,1.791759469222055,0,0,6.0,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.724056147739237,1.791759469222055,1.5,0.0,11,25.0
3,1,1,2.604166666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.000088900581841e-12,0,0,1.0,2.604166666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.000088900581841e-12,0.25,0.0,11,25.0
3,2,2,5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.298221281347036,0.6931471805579453,0,0,2.0,5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.298221281347036,0.6931471805579453,0.5,0.0,11,25.0
3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
4,0,6,0.00015625,0.0,35.783666235669585,23.968820946002758,-24.37857315063808,2.985131406200582,24.560656309905422,1073.5099870700874,0.5664285725848912,33.518752502415175,1.5607104090364068,1,1,6.0,0.00015625,0.0,7.156733247133917,4.793764189200552,-4.875714630127616,0.5970262812401164,4.912131261981084,214.70199741401748,0.11328571451697825,32.08299541867443,1.7455496571849252,1.4,0.2,11,25.0
4,1,4,0.00010416666666666667,3.0,13.515757285547997,23.409978321338343,-13.433091327902616,-1.4925657031002906,13.515757285547997,1351.5757285547998,0.4977116371073357,19.76677063547701,1.3862943611158907,3,0,1.6,4.166666666666667e-05,0.6,2.703151457109599,4.681995664267669,-2.686618265580523,-0.2985131406200581,2.703151457109599,270.31514571095994,0.09954232742146714,3.953354127095402,0.27725887222237805,0.8,0.0,11,25.0
4,2,3,7.8125e-05,1.0,26.543529022358115,28.622084019860917,-23.88105124960465,0.9950438020668605,23.901772339185968,995.3823383384293,0.7077976217831791,41.14005373716909,1.0986122886651097,1,0,2.2,5.7291666666666666e-05,0.2,5.308705804471623,5.724416803972184,-4.77621024992093,0.1990087604133721,4.780354467837194,199.07646766768588,0.14155952435663582,28.466587772511446,0.7742402021793782,0.6,0.0,11,25.0
4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
5,0,6,0.00015625,0.0,37.0676662037502,24.828877183027462,-25.25333223600168,3.092244763592023,25.441948956395695,32.099999202015425,0.5664285725848912,33.716317768597186,1.5607104090364068,0,0,6.0,0.00015625,0.0,14.57026648788396,9.759539625806045,-9.926381077327951,1.215475233958521,10.000521053260224,221.12199725442056,0.2265714290339565,32.481447742846015,1.699339845147796,0.2,0.2,11,25.0
5,1,4,0.00010416666666666667,0.0,14.00073363785734,24.249982004007553,-13.915101436164218,-1.5461223817960172,14.00073363785734,12.1244088077336,0.4977116371073357,19.784163206839008,1.3862943611158907,0,0,2.2,5.7291666666666666e-05,0.6,5.503298184681067,9.53199206506918,-5.469638552813366,-0.6077376169792615,5.503298184681067,272.74002747250665,0.19908465484293428,7.910186768463203,0.5545177444457562,0.6,0.0,11,25.0
5,2,3,7.8125e-05,0.0,27.495971686924424,29.649110002214467,-24.737958108736276,1.0307482545306375,24.759422718508784,23.81106661415777,0.7077976217831796,42.92611177669239,1.0986122886651097,0,0,2.4,6.25e-05,0.2,10.807900141856507,11.654238804415076,-9.723801871668185,0.4051584113194996,9.732239011538951,203.83868099051742,0.28311904871327176,31.992165871580518,0.855333223800811,0.2,0.0,11,25.0
5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25.0
6,0,6,0.00015625,0.0,32.46694891294433,21.747198289639417,-22.11897137200739,2.7084454741233537,22.28417760299854,-115.01793227014677,0.5664285725848912,33.80034048439894,1.5607104090364068,0,0,6.0,0.00015625,0.0,21.063656270472826,14.108979283733927,-14.35017535172943,1.7571643287831917,14.457356573859931,198.11841080039122,0.3398571435509347,32.896704610177956,1.653130033110666,0.2,0.2,11,25.0
