vid_id,split,frame,left,center,right,total_count,mean_speed,flow_x,flow_y,density_left,density_center,density_right,active_tracks,left_smooth,center_smooth,right_smooth,total_count_smooth,mean_speed_smooth,flow_x_smooth,flow_y_smooth,density_left_smooth,density_center_smooth,density_right_smooth,active_tracks_smooth
Train005,train,0,4,3,3,10,0.0,0.0,0.0,0.00027570995312930797,0.00020678246484698098,0.0002085650723025584,10,4.0,3.0,3.0,10.0,0.0,0.0,0.0,0.00027570995312930797,0.00020678246484698098,0.0002085650723025584,10.0
Train005,train,1,4,3,3,10,0.0,0.0,0.0,0.00027570995312930797,0.00020678246484698098,0.0002085650723025584,10,4.0,3.0,3.0,10.0,0.0,0.0,0.0,0.00027570995312930797,0.00020678246484698098,0.0002085650723025584,10.0
Train005,train,2,4,3,3,10,0.0,0.0,0.0,0.00027570995312930797,0.00020678246484698098,0.0002085650723025584,10,3.8,2.8,3.4,10.0,0.6353459551834304,-0.17294077377366734,0.08410157925286513,0.00026192445547284257,0.00019299696719051558,0.0002363737486095662,10.0
Train005,train,3,4,3,3,10,0.0,0.0,0.0,0.00027570995312930797,0.00020678246484698098,0.0002085650723025584,10,3.6,2.6,3.8,10.0,0.6353459551834304,-0.17294077377366734,0.08410157925286513,0.00024813895781637717,0.00017921146953405018,0.000264182424916574,10.0
Train005,train,4,3,2,5,10,3.176729775917152,-0.8647038688683367,0.42050789626432566,0.00020678246484698098,0.00013785497656465398,0.00034760845383759734,10,3.4,2.4,4.2,10.0,0.6353459551834304,-0.17294077377366734,0.08410157925286513,0.00023435346015991177,0.00016542597187758478,0.0002919911012235818,10.0
Train005,train,5,3,2,5,10,0.0,0.0,0.0,0.00020678246484698098,0.00013785497656465398,0.00034760845383759734,10,3.2,2.2,4.6,10.0,0.6353459551834304,-0.17294077377366734,0.08410157925286513,0.00022056796250344637,0.00015164047422111938,0.0003197997775305895,10.0
Train005,train,6,3,2,5,10,0.0,0.0,0.0,0.00020678246484698098,0.00013785497656465398,0.00034760845383759734,10,3.0,2.0,5.0,10.0,0.6353459551834304,-0.17294077377366734,0.08410157925286513,0.00020678246484698098,0.00013785497656465398,0.00034760845383759734,10.0
Train005,train,7,3,2,5,10,0.0,0.0,0.0,0.00020678246484698098,0.00013785497656465398,0.00034760845383759734,10,2.8,1.8,4.6,9.2,0.6550787632118203,-0.32,0.02,0.00019299696719051558,0.00012406947890818859,0.00031979977753058956,9.2
Train005,train,8,3,2,5,10,0.0,0.0,0.0,0.00020678246484698098,0.00013785497656465398,0.00034760845383759734,10,2.6,1.6,4.2,8.4,0.6550787632118203,-0.32,0.02,0.00017921146953405018,0.00011028398125172319,0.0002919911012235818,8.4
Train005,train,9,2,1,3,6,3.275393816059102,-1.6,0.1,0.00013785497656465398,6.892748828232699e-05,0.0002085650723025584,6,2.4,1.4,3.8,7.6,0.6550787632118203,-0.32,0.02,0.00016542597187758478,9.649848359525779e-05,0.000264182424916574,7.6
