vid_id,frame,risk_score,risk_level,alert_source,person_count,crawling,overcrowding,zone_imbalance
Test004,106,0.5092,HIGH,MEMBER3_LSTM,3,False,False,True
Test004,107,0.5156,HIGH,MEMBER3_LSTM,4,False,False,True
Test004,108,0.5156,HIGH,MEMBER3_LSTM,4,False,False,True
Test004,109,0.522,HIGH,MEMBER3_LSTM,5,False,False,True
Test004,110,0.522,HIGH,MEMBER3_LSTM,5,False,False,True
Test004,111,0.522,HIGH,MEMBER3_LSTM,5,False,False,True
Test004,112,0.522,HIGH,MEMBER3_LSTM,5,False,False,True
Test004,113,0.5156,HIGH,MEMBER3_LSTM,4,False,False,True
Test004,114,0.5156,HIGH,MEMBER3_LSTM,4,False,False,True
Test004,115,0.5156,HIGH,MEMBER3_LSTM,4,False,False,True
