vid_id,frame,person_count,lstm_score,spatial_score,risk_score,risk_level,alert_source,crawling,overcrowding,zone_imbalance,lstm_anomaly,spatial_anomaly,lstm,spatial,density,size,weighted_lstm,weighted_spatial,weighted_density,weighted_size
Test001,0,8,0.3804901624955286,0.0,0.20339606499821145,LOW,NONE,False,False,False,False,False,0.3804901624955286,0.0,0.17600000000000002,0.16,0.15219606499821145,0.0,0.0352,0.016
Test001,1,7,0.35446528023641877,0.0,0.18658611209456752,LOW,NONE,False,False,False,False,False,0.35446528023641877,0.0,0.154,0.14,0.1417861120945675,0.0,0.0308,0.014000000000000002
Test001,2,7,0.34010023878631424,0.0,0.1808400955145257,LOW,NONE,False,False,False,False,False,0.34010023878631424,0.0,0.154,0.14,0.1360400955145257,0.0,0.0308,0.014000000000000002
Test001,3,7,0.3191119166067986,0.0,0.17244476664271946,LOW,NONE,False,False,False,False,False,0.3191119166067986,0.0,0.154,0.14,0.12764476664271945,0.0,0.0308,0.014000000000000002
Test001,4,7,0.2951867504841121,0.0,0.16287470019364486,LOW,NONE,False,False,False,False,False,0.2951867504841121,0.0,0.154,0.14,0.11807470019364484,0.0,0.0308,0.014000000000000002
Test001,5,8,0.2828924378918219,0.0,0.16435697515672876,LOW,NONE,False,False,False,False,False,0.2828924378918219,0.0,0.17600000000000002,0.16,0.11315697515672876,0.0,0.0352,0.016
Test001,6,8,0.2911344246232709,0.0,0.16765376984930835,LOW,NONE,False,False,False,False,False,0.2911344246232709,0.0,0.17600000000000002,0.16,0.11645376984930836,0.0,0.0352,0.016
Test001,7,8,0.3086592694950191,0.0,0.17466370779800766,LOW,NONE,False,False,False,False,False,0.3086592694950191,0.0,0.17600000000000002,0.16,0.12346370779800764,0.0,0.0352,0.016
Test001,8,9,0.3375824382306664,0.0,0.19263297529226656,LOW,NONE,False,False,False,False,False,0.3375824382306664,0.0,0.198,0.18,0.13503297529226657,0.0,0.0396,0.018
Test001,9,8,0.3582758550568567,0.0,0.1945103420227427,LOW,NONE,False,False,False,False,False,0.3582758550568567,0.0,0.17600000000000002,0.16,0.1433103420227427,0.0,0.0352,0.016
Test001,10,8,0.38546000967158,0.0,0.20538400386863204,LOW,NONE,False,False,False,False,False,0.38546000967158,0.0,0.17600000000000002,0.16,0.154184003868632,0.0,0.0352,0.016
Test001,11,8,0.40756714974286623,0.0,0.21422685989714652,LOW,NONE,False,False,False,False,False,0.40756714974286623,0.0,0.17600000000000002,0.16,0.1630268598971465,0.0,0.0352,0.016
Test001,12,8,0.4328836928904643,0.0,0.22435347715618575,LOW,NONE,False,False,False,False,False,0.4328836928904643,0.0,0.17600000000000002,0.16,0.17315347715618573,0.0,0.0352,0.016
Test001,13,8,0.46331831522002737,0.0,0.23652732608801097,LOW,NONE,False,False,False,False,False,0.46331831522002737,0.0,0.17600000000000002,0.16,0.18532732608801095,0.0,0.0352,0.016
Test001,14,9,0.5056392760455195,0.0,0.2598557104182078,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.5056392760455195,0.0,0.198,0.18,0.2022557104182078,0.0,0.0396,0.018
Test001,15,9,0.5458737550430138,0.0,0.2759495020172056,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.5458737550430138,0.0,0.198,0.18,0.21834950201720554,0.0,0.0396,0.018
Test001,16,9,0.5765887111186564,0.0,0.2882354844474626,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.5765887111186564,0.0,0.198,0.18,0.23063548444746257,0.0,0.0396,0.018
Test001,17,10,0.6091055379073298,0.0,0.30764221516293194,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6091055379073298,0.0,0.22,0.2,0.24364221516293194,0.0,0.044000000000000004,0.020000000000000004
Test001,18,10,0.6249239320969435,0.0,0.3139695728387774,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6249239320969435,0.0,0.22,0.2,0.2499695728387774,0.0,0.044000000000000004,0.020000000000000004
Test001,19,11,0.6353339627057254,0.0,0.3245335850822902,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6353339627057254,0.0,0.242,0.22,0.25413358508229017,0.0,0.0484,0.022000000000000002
Test001,20,11,0.6430080723988427,0.0,0.32760322895953714,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6430080723988427,0.0,0.242,0.22,0.2572032289595371,0.0,0.0484,0.022000000000000002
Test001,21,11,0.6425117591128805,0.0,0.32740470364515223,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6425117591128805,0.0,0.242,0.22,0.2570047036451522,0.0,0.0484,0.022000000000000002
Test001,22,11,0.6424693410415867,0.0,0.3273877364166347,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6424693410415867,0.0,0.242,0.22,0.2569877364166347,0.0,0.0484,0.022000000000000002
Test001,23,11,0.6481248974293528,0.0,0.32964995897174115,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6481248974293528,0.0,0.242,0.22,0.25924995897174113,0.0,0.0484,0.022000000000000002
Test001,24,10,0.6601784858628161,0.0,0.32807139434512644,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6601784858628161,0.0,0.22,0.2,0.26407139434512644,0.0,0.044000000000000004,0.020000000000000004
Test001,25,9,0.6680698512415725,0.0,0.32482794049662905,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6680698512415725,0.0,0.198,0.18,0.267227940496629,0.0,0.0396,0.018
Test001,26,8,0.6749609618998273,0.0,0.321184384759931,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6749609618998273,0.0,0.17600000000000002,0.16,0.269984384759931,0.0,0.0352,0.016
Test001,27,8,0.6752384221262889,0.0,0.32129536885051563,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6752384221262889,0.0,0.17600000000000002,0.16,0.2700953688505156,0.0,0.0352,0.016
Test001,28,7,0.6763809010016532,0.0,0.3153523604006613,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6763809010016532,0.0,0.154,0.14,0.2705523604006613,0.0,0.0308,0.014000000000000002
Test001,29,8,0.6701026641437956,0.0,0.31924106565751825,MEDIUM,MEMBER3_LSTM,False,False,False,True,False,0.6701026641437956,0.0,0.17600000000000002,0.16,0.26804106565751823,0.0,0.0352,0.016
